id,inmate_id,location_id,date
555,2012-0730041,55,2013-01-10
556,2012-0913095,91,2012-12-14
557,2012-1207005,138,2012-12-17
558,2012-1124072,172,2012-12-13
559,2012-1115040,68,2013-01-11
560,2011-0524167,72,2013-01-18
561,2012-1102215,115,2013-01-11
562,2012-0222044,39,2013-01-04
563,2012-0912065,80,2013-01-16
564,2011-1106124,38,2012-12-17
565,2012-0411107,27,2013-01-08
566,2011-0122094,39,2013-01-10
567,2011-1108111,3,2013-01-07
568,2012-0413111,5,2013-01-16
569,2011-1118208,60,2013-01-15
570,2012-1004251,91,2012-12-17
571,2011-1107099,83,2013-01-23
572,2011-1005126,2,2012-12-18
573,2012-1129158,89,2012-12-13
574,2012-0802201,52,2012-12-20
575,2012-0901100,28,2013-01-09
576,2008-0019935,32,2013-01-03
577,2012-1205123,161,2013-01-02
578,2012-1004105,76,2013-01-03
579,2011-1127056,20,2013-01-04
580,2012-1114162,25,2013-01-15
581,2009-0928080,177,2013-01-03
582,2012-0825099,2,2013-01-03
583,2011-0807096,58,2012-12-18
584,2012-1210108,179,2012-12-13
585,2012-1205001,10,2012-12-24
586,2012-1012157,46,2012-12-18
587,2012-1206120,2,2012-12-13
588,2012-0212072,102,2013-01-24
589,2012-1212004,134,2012-12-27
590,2011-0120226,25,2012-12-13
591,2012-0721003,47,2013-01-03
592,2012-1211198,45,2012-12-20
593,2012-0918038,15,2013-01-03
594,2011-0512199,72,2012-12-20
595,2011-1025184,59,2013-01-10
596,2012-0526146,48,2013-01-09
597,2012-1025239,29,2013-01-29
598,2012-0217148,39,2012-12-19
599,2011-0417096,44,2012-12-17
600,2011-1130091,28,2013-01-22
601,2012-1121068,25,2012-12-18
602,2012-1212072,183,2013-01-03
603,2012-1004057,68,2012-12-14
604,2012-1207001,69,2013-01-04
605,2011-0901243,68,2013-01-29
606,2012-1005127,31,2012-12-17
607,2012-0720165,52,2013-01-10
608,2012-0915214,27,2012-12-17
609,2011-0526016,184,2013-01-16
610,2012-1126202,103,2012-12-31
611,2012-1124051,25,2012-12-21
612,2012-1205163,132,2012-12-13
613,2012-1210153,49,2013-01-18
614,2012-1203007,54,2013-01-10
615,2012-1004131,2,2012-12-20
616,2012-1119086,34,2013-01-07
617,2012-0622042,4,2012-12-17
618,2012-1019107,28,2012-12-13
619,2012-1211195,185,2013-02-20
620,2012-1125076,25,2012-12-21
621,2011-1027218,32,2013-01-15
622,2012-0907130,2,2013-01-10
623,2012-1204049,69,2012-12-26
624,2012-1007177,26,2013-01-11
625,2012-1026193,67,2013-01-04
626,2012-1210052,26,2012-12-20
627,2012-0930049,26,2013-01-09
628,2011-0305113,26,2013-01-08
629,2012-1130082,153,2012-12-20
630,2011-1101057,26,2013-01-24
631,2012-1031128,26,2012-12-19
632,2012-1119204,67,2012-12-17
633,2012-0721070,26,2013-01-07
634,2012-1128024,186,2012-12-18
635,2012-0207046,26,2013-01-08
636,2012-1114125,85,2012-12-17
637,2012-1206086,183,2012-12-26
638,2010-0615230,67,2012-12-17
639,2011-0310226,67,2012-12-17
640,2011-0715021,50,2013-01-15
641,2011-0715015,50,2013-01-15
642,2012-1204163,67,2012-12-26
643,2012-0728072,26,2012-12-20
644,2012-1126087,150,2012-12-20
645,2012-1115130,25,2012-12-27
646,2012-1121095,30,2012-12-13
647,2012-0530014,5,2013-01-17
648,2012-0617032,27,2013-01-09
649,2009-1018059,87,2012-12-19
650,2012-1117153,25,2012-12-21
651,2012-0724166,52,2012-12-17
652,2012-1025020,82,2012-12-14
653,2012-1129183,83,2013-01-24
654,2012-0612074,2,2013-01-10
655,2012-1030069,30,2012-12-18
656,2011-1104206,87,2013-01-15
657,2012-0808055,45,2012-12-14
658,2012-1128092,57,2012-12-21
659,2012-0430108,90,2012-12-17
660,2011-1222112,102,2013-01-10
661,2012-0626074,58,2012-12-17
662,2012-1209064,30,2012-12-27
663,2012-0911091,25,2012-12-19
664,2012-0716133,20,2012-12-19
665,2012-0731044,90,2013-01-04
666,2012-1212207,67,2013-01-03
667,2012-0301172,59,2013-01-15
668,2012-0105095,58,2012-12-18
669,2012-0531124,27,2012-12-18
670,2012-1123095,138,2012-12-14
671,2012-1009105,58,2013-01-10
672,2012-1208065,190,2012-12-14
673,2012-1204180,191,2013-01-17
674,2012-1209034,53,2012-12-26
675,2012-0724168,83,2013-01-02
676,2012-0509083,1,2013-01-24
677,2012-1101038,77,2013-01-23
678,2012-0627096,1,2012-12-13
679,2012-1101078,192,2012-12-18
680,2012-0301158,15,2012-12-18
681,2012-0623204,12,2013-01-16
